ensayo,trt,rep,verdor,MA_inc,RE_inc,RH_inc,MA_sev,RE_sev,RH_sev,trat,MA_int,RE_int,RH_int
LP,1,1,85.71428571428571,19.226190476190478,56.01190476190476,0,1.4444444444444444,10.282539682539683,0,test,0.27771164021164024,5.7594463340891915,0
LP,2,1,100,36.66666666666667,20,0,1.95,3.333333333333333,0,rub_Z32,0.7150000000000001,0.6666666666666666,0
LP,3,1,96.66666666666667,36.55172413793103,3.103448275862069,0,2.555555555555556,17,0,rub_Z39,0.9340996168582375,0.5275862068965517,0
LP,4,1,100,16.666666666666668,23.333333333333332,0,3,4.625,0,orq_Z32,0.5,1.0791666666666666,0
LP,5,1,100,20,0,0,2.444444444444444,0,0,orq_Z39,0.4888888888888889,0,0
LP,6,1,96.29629629629629,21.794871794871796,0,0,2.6666666666666665,0,0,rub_Z32_orq_Z39,0.5811965811965811,0,0
LP,7,1,100,33.33333333333333,0,0,1.8611111111111114,0,0,rub_Z32_carbFMC_Z39,0.6203703703703703,0,0
PA,1,1,100,66.66666666666666,88.88888888888889,0,8.708333333333332,7.527777777777778,0,test,5.805555555555554,6.6913580246913575,0
PA,2,1,100,33.33333333333333,55.55555555555556,0,6.375,5.166666666666667,0,rub_Z32,2.1249999999999996,2.8703703703703707,0
PA,3,1,100,66.66666666666666,44.44444444444444,0,5.5,4.444444444444445,0,rub_Z39,3.666666666666666,1.9753086419753085,0
PA,4,1,100,44.44444444444444,27.77777777777778,0,5.666666666666667,5.833333333333333,0,orq_Z32,2.5185185185185186,1.6203703703703705,0
PA,5,1,100,47.61904761904761,38.095238095238095,0,10.583333333333334,0,0,orq_Z39,5.039682539682539,0,0
PA,6,1,100,61.904761904761905,14.285714285714285,0,5.6380952380952385,3.5,0,rub_Z32_orq_Z39,3.4902494331065763,0.5,0
PA,7,1,100,58.333333333333336,12.5,0,7.527777777777778,3.6666666666666665,0,rub_Z32_carbFMC_Z39,4.391203703703704,0.4583333333333333,0
LP,1,2,92.85714285714286,44.230769230769226,69.71153846153845,0,1.7555555555555558,19.15343915343915,0,test,0.7764957264957265,13.3521571021571,0
LP,2,2,100,43.333333333333336,30,0,1.7555555555555558,5.583333333333334,0,rub_Z32,0.7607407407407408,1.675,0
LP,3,2,96.66666666666667,39.6551724137931,0,0,1.6500000000000001,0,0,rub_Z39,0.6543103448275863,0,0
LP,4,2,100,20.689655172413794,41.37931034482759,0,1.2222222222222223,5.188888888888889,0,orq_Z32,0.25287356321839083,2.147126436781609,0
LP,5,2,100,31.03448275862069,0,0,1.4666666666666668,0,0,orq_Z39,0.4551724137931035,0,0
LP,6,2,96.66666666666667,35.51724137931034,0,0,1.857142857142857,0,0,rub_Z32_orq_Z39,0.6596059113300492,0,0
LP,7,2,96.55172413793103,40.87301587301587,0,0,1.7333333333333334,0,0,rub_Z32_carbFMC_Z39,0.7084656084656085,0,0
PA,1,2,100,66.66666666666666,80,0,10.25925925925926,12.944444444444443,0,test,6.839506172839505,10.355555555555554,0
PA,2,2,100,44.827586206896555,58.620689655172406,0,7.083333333333333,6.412698412698412,0,rub_Z32,3.175287356321839,3.7591680350301035,0
PA,3,2,100,66.66666666666666,50,0,9.148809523809524,8.373015873015872,0,rub_Z39,6.099206349206348,4.186507936507936,0
PA,4,2,100,53.333333333333336,33.33333333333333,0,5.8999999999999995,5,0,orq_Z32,3.1466666666666665,1.6666666666666663,0
