trt,bq,af_n,ma_inc,re_inc,rh_inc,ma_sev,re_sev,rh_sev
1,1,30,23.333333333333332,90,0,2.33,20.67,0
1,2,27,14.814814814814813,77.77777777777779,0,0.78,19.48,0
1,3,19,10.526315789473683,94.73684210526315,0,1.63,30.11,0
2,1,21,9.523809523809524,4.761904761904762,0,0.29,0.24,0
2,2,29,13.793103448275861,0,0,0.41,0,0
2,3,30,40,0,0,1.73,0,0
3,1,21,28.57142857142857,0,0,1.29,0,0
3,2,30,10,0,0,0.37,0,0
3,3,24,62.5,0,0,5.29,0,0
4,1,29,13.793103448275861,0,0,0.28,0,0
4,2,30,16.666666666666664,0,0,0.43,0,0
4,3,30,10,0,0,0.23,0,0
5,1,21,23.809523809523807,0,0,0.24,0,0
5,2,30,26.666666666666668,3.3333333333333335,0,0.83,0.07,0
5,3,24,29.166666666666668,0,0,0.29,0,0
6,1,21,23.809523809523807,0,0,1.81,0,0
6,2,30,13.333333333333334,0,0,0.73,0,0
6,3,29,13.793103448275861,3.4482758620689653,0,0.72,0.07,0
7,1,21,38.095238095238095,0,0,0.48,0,0
7,2,30,0,0,0,0,0,0
7,3,30,23.333333333333332,0,0,0.6,0,0
8,1,30,26.666666666666668,0,0,0.53,0,0
8,2,29,34.48275862068966,0,0,0.93,0,0
8,3,30,43.333333333333336,0,0,0.73,0,0
9,1,21,14.285714285714285,4.761904761904762,0,0.33,0.48,0
9,2,30,23.333333333333332,0,0,1.27,0,0
9,3,30,13.333333333333334,20,0,0.83,1.9,0
