LON,LAT,YEAR,MM,DD,DOY,YYYYMMDD,T2M_MIN,T2M_MAX,ALLSKY_SFC_SW_DWN,PRECTOT
-57.40987,-37.09303,2019,1,1,1,2019-01-01,18.21,24.69,14.92,14.88
-57.40987,-37.09303,2019,1,2,2,2019-01-02,16,25.47,19.08,47.21
-57.40987,-37.09303,2019,1,3,3,2019-01-03,13.58,22.04,32.53,0.03
-57.40987,-37.09303,2019,1,4,4,2019-01-04,13.25,25.07,33.05,0
-57.40987,-37.09303,2019,1,5,5,2019-01-05,17.3,28.01,31.85,0
-57.40987,-37.09303,2019,1,6,6,2019-01-06,19,26.36,24.31,0.55
-57.40987,-37.09303,2019,1,7,7,2019-01-07,19.29,24.55,11.93,1.97
-57.40987,-37.09303,2019,1,8,8,2019-01-08,17.2,28.16,27.05,0.54
-57.40987,-37.09303,2019,1,9,9,2019-01-09,17.22,20.49,21.55,12.69
-57.40987,-37.09303,2019,1,10,10,2019-01-10,12.1,19.59,9.52,3.14
-57.40987,-37.09303,2019,1,11,11,2019-01-11,10.27,22.85,32.84,0
-57.40987,-37.09303,2019,1,12,12,2019-01-12,14.37,27.54,31.18,0.03
-57.40987,-37.09303,2019,1,13,13,2019-01-13,18.65,26.37,12.94,3.36
-57.40987,-37.09303,2019,1,14,14,2019-01-14,18,25.19,29.99,0.1
-57.40987,-37.09303,2019,1,15,15,2019-01-15,16.59,25.39,20.81,0.91
-57.40987,-37.09303,2019,1,16,16,2019-01-16,17.7,30.61,31.21,2.26
-57.40987,-37.09303,2019,1,17,17,2019-01-17,15.19,20.22,26.68,2.93
-57.40987,-37.09303,2019,1,18,18,2019-01-18,14.71,22.56,25.64,0.31
-57.40987,-37.09303,2019,1,19,19,2019-01-19,13.9,25.36,31.34,0.01
-57.40987,-37.09303,2019,1,20,20,2019-01-20,15.13,26.41,28.81,0.05
-57.40987,-37.09303,2019,1,21,21,2019-01-21,17.61,29.83,24.6,0.19
-57.40987,-37.09303,2019,1,22,22,2019-01-22,17.73,31.96,29.53,8.67
-57.40987,-37.09303,2019,1,23,23,2019-01-23,16.44,24.04,31.44,9.21
-57.40987,-37.09303,2019,1,24,24,2019-01-24,16.62,27.82,30.08,0
-57.40987,-37.09303,2019,1,25,25,2019-01-25,19.75,23.71,11.17,4.54
-57.40987,-37.09303,2019,1,26,26,2019-01-26,19.83,27.89,20.52,0.32
-57.40987,-37.09303,2019,1,27,27,2019-01-27,19.87,30.04,19.49,0.41
-57.40987,-37.09303,2019,1,28,28,2019-01-28,22.41,35.17,28.59,0.15
-57.40987,-37.09303,2019,1,29,29,2019-01-29,20.35,32.67,23.2,5.9
-57.40987,-37.09303,2019,1,30,30,2019-01-30,18.07,31.69,28.17,4.83
-57.40987,-37.09303,2019,1,31,31,2019-01-31,16.25,26.21,29.39,0
-57.40987,-37.09303,2019,2,1,32,2019-02-01,18.37,27.59,29.85,0
-57.40987,-37.09303,2019,2,2,33,2019-02-02,14.14,21,27.31,0
-57.40987,-37.09303,2019,2,3,34,2019-02-03,13.17,22.7,29.73,0
-57.40987,-37.09303,2019,2,4,35,2019-02-04,14.45,27.19,29.85,0
-57.40987,-37.09303,2019,2,5,36,2019-02-05,15.78,28.7,29.55,0
-57.40987,-37.09303,2019,2,6,37,2019-02-06,17.38,29.56,27.55,0
-57.40987,-37.09303,2019,2,7,38,2019-02-07,19.3,29.82,24.83,0.01
-57.40987,-37.09303,2019,2,8,39,2019-02-08,17.83,26.94,15.09,0.39
-57.40987,-37.09303,2019,2,9,40,2019-02-09,16.97,32.53,28.9,0.02
-57.40987,-37.09303,2019,2,10,41,2019-02-10,18.01,33.04,22.51,2.93
-57.40987,-37.09303,2019,2,11,42,2019-02-11,14.11,19.56,14.62,0.17
-57.40987,-37.09303,2019,2,12,43,2019-02-12,13.42,20.28,24.76,0.07
-57.40987,-37.09303,2019,2,13,44,2019-02-13,12.35,26.9,28.03,0
-57.40987,-37.09303,2019,2,14,45,2019-02-14,16.45,26.56,21.58,0.01
-57.40987,-37.09303,2019,2,15,46,2019-02-15,15.42,31.26,27.68,0
-57.40987,-37.09303,2019,2,16,47,2019-02-16,17.75,33.86,27.19,0
-57.40987,-37.09303,2019,2,17,48,2019-02-17,18.19,32.13,27.76,0
-57.40987,-37.09303,2019,2,18,49,2019-02-18,20.71,32.73,26.79,2.89
-57.40987,-37.09303,2019,2,19,50,2019-02-19,20.75,30.19,24.77,16.58
-57.40987,-37.09303,2019,2,20,51,2019-02-20,19.15,35.35,26.35,0.17
-57.40987,-37.09303,2019,2,21,52,2019-02-21,19.95,28.02,18.31,13.5
-57.40987,-37.09303,2019,2,22,53,2019-02-22,18.97,22.66,5.37,33.34
-57.40987,-37.09303,2019,2,23,54,2019-02-23,17.33,27.38,24.62,0.26
-57.40987,-37.09303,2019,2,24,55,2019-02-24,12.83,21.51,26.21,0.02
-57.40987,-37.09303,2019,2,25,56,2019-02-25,11.45,18.76,22.81,1.55
-57.40987,-37.09303,2019,2,26,57,2019-02-26,9.49,19.21,18.55,0.76
-57.40987,-37.09303,2019,2,27,58,2019-02-27,11.33,22.58,16.36,0.83
-57.40987,-37.09303,2019,2,28,59,2019-02-28,11.71,23.02,24,0.1
-57.40987,-37.09303,2019,3,1,60,2019-03-01,14.96,24.88,15.58,22.68
-57.40987,-37.09303,2019,3,2,61,2019-03-02,14.04,21.48,22.93,0.57
-57.40987,-37.09303,2019,3,3,62,2019-03-03,13.21,25.36,24.85,0
-57.40987,-37.09303,2019,3,4,63,2019-03-04,17.2,20.47,11.44,14.42
-57.40987,-37.09303,2019,3,5,64,2019-03-05,15.18,27.59,24.61,0.1
-57.40987,-37.09303,2019,3,6,65,2019-03-06,18.22,26.85,22.75,8.97
-57.40987,-37.09303,2019,3,7,66,2019-03-07,17.02,27.84,22.66,12.24
-57.40987,-37.09303,2019,3,8,67,2019-03-08,13.01,18.6,16.28,0.05
-57.40987,-37.09303,2019,3,9,68,2019-03-09,12.85,19.88,23.2,0.01
-57.40987,-37.09303,2019,3,10,69,2019-03-10,12.83,22.22,24.16,0
-57.40987,-37.09303,2019,3,11,70,2019-03-11,12.81,23.53,21.38,0.01
-57.40987,-37.09303,2019,3,12,71,2019-03-12,16.08,22.08,9.33,4.17
-57.40987,-37.09303,2019,3,13,72,2019-03-13,16.84,22.11,14.15,1.75
-57.40987,-37.09303,2019,3,14,73,2019-03-14,16.88,22.89,12.92,3.05
